mechanism,efficiency_ratio,revenue_ratio,runtime,welfare,revenue,winner_id,topology_name,seed,instance_id,num_bidders
LIA,0.9484205562655192,0.7255701098551572,0.0001251697540283203,94.81795682524043,72.53857468128396,53,STARLINK-200,0,0,200
VCG,1.0,0.610271208082408,1.621246337890625e-05,99.97459059575175,61.01161418041357,198,STARLINK-200,0,0,200
HoldBack,0.8307567992759788,0.5628606098779496,1.5020370483398438e-05,83.0545708922531,56.27175903502316,198,STARLINK-200,0,0,200
LIA,0.8873410689150306,0.709261624091198,9.489059448242188e-05,88.56912352041827,70.79428935847118,194,STARLINK-200,0,1,200
VCG,1.0,0.6084019377624775,1.2874603271484375e-05,99.81406994800037,60.7270735723229,194,STARLINK-200,0,1,200
HoldBack,0.8063139784454543,0.5044684836833535,1.2874603271484375e-05,80.48147984460503,50.35305251693193,194,STARLINK-200,0,1,200
LIA,0.9441640462267363,0.7656773834012818,9.322166442871094e-05,94.10488000420303,76.31510495963788,99,STARLINK-200,0,2,200
VCG,1.0,0.6185401666399515,1.3113021850585938e-05,99.67005244510678,61.64993084840905,99,STARLINK-200,0,2,200
HoldBack,0.811912905348348,0.5214145623991077,1.3113021850585938e-05,80.92340185692886,51.96941677996146,99,STARLINK-200,0,2,200
LIA,0.9325072655230123,0.683190979059157,9.226799011230469e-05,93.11204036539706,68.21749102807557,134,STARLINK-200,0,3,200
VCG,1.0,0.7704819395761611,1.2874603271484375e-05,99.85127602536546,76.93360482117822,134,STARLINK-200,0,3,200
HoldBack,0.8641234531880922,0.5405583514456198,1.4066696166992188e-05,86.28382944427617,53.9754411580131,134,STARLINK-200,0,3,200
LIA,0.9502014803743044,0.6505762503331229,9.083747863769531e-05,94.27299549720476,64.54607068606437,152,STARLINK-200,0,4,200
VCG,1.0,0.7647391713551575,1.1920928955078125e-05,99.21369040602698,75.87259538819221,87,STARLINK-200,0,4,200
HoldBack,0.8279034500008499,0.6380173411633445,1.2874603271484375e-05,82.13935657446596,63.30005495985656,87,STARLINK-200,0,4,200
LIA,0.9076298462372328,0.7606760375731495,9.107589721679688e-05,90.05458964043943,75.47390458451338,29,STARLINK-200,0,5,200
VCG,1.0,0.6137205622287206,1.2159347534179688e-05,99.21951114077986,60.893054161378224,29,STARLINK-200,0,5,200
HoldBack,0.9113796249260632,0.5191589516188122,1.3113021850585938e-05,90.4266408488313,51.510697383978325,29,STARLINK-200,0,5,200
LIA,0.9604394480134272,0.6677979429712694,9.226799011230469e-05,95.94822268346924,66.71323827056537,83,STARLINK-200,0,6,200
VCG,1.0,0.797924018343113,1.2874603271484375e-05,99.90033508299615,79.71287680324775,81,STARLINK-200,0,6,200
HoldBack,0.8811504348391493,0.7462114359917735,1.3113021850585938e-05,88.02722369895878,74.54677249834191,81,STARLINK-200,0,6,200
LIA,0.8638238486552695,0.6728279938619265,9.322166442871094e-05,86.19757321066983,67.13885052998383,75,STARLINK-200,0,7,200
VCG,1.0,0.7852620650095943,1.4066696166992188e-05,99.7860540026247,78.35820282525997,75,STARLINK-200,0,7,200
HoldBack,0.9308982608264083,0.6130216492028415,1.3113021850585938e-05,92.89066412577338,61.1710113921328,75,STARLINK-200,0,7,200
LIA,0.897225463531857,0.737729500049211,9.322166442871094e-05,89.47621091926857,73.5704045758238,162,STARLINK-200,0,8,200
VCG,1.0,0.7943740645522234,1.2874603271484375e-05,99.72544756705027,79.21930912312736,113,STARLINK-200,0,8,200
HoldBack,0.9211798468525971,0.6843524860779866,1.2874603271484375e-05,91.86507251712207,68.24735796775074,113,STARLINK-200,0,8,200
LIA,0.9520746849749694,0.7474812606201615,9.417533874511719e-05,93.99103061639859,73.79309119429102,145,STARLINK-200,0,9,200
VCG,1.0,0.7863429124036945,1.2159347534179688e-05,98.72232935052745,77.62960398077048,145,STARLINK-200,0,9,200
HoldBack,0.8085855040275215,0.732749654928146,1.3113021850585938e-05,79.82544443666721,72.33875276530176,145,STARLINK-200,0,9,200
LIA,0.8521673015779523,0.8247068528490429,9.107589721679688e-05,85.14383136054069,82.40013559642298,82,STARLINK-200,0,10,200
VCG,1.0,0.6091187280596737,1.1682510375976562e-05,99.91445482932805,60.85976564041603,82,STARLINK-200,0,10,200
HoldBack,0.8317260123922652,0.6840088501065164,1.2874603271484375e-05,83.10145109554412,68.34237135682815,82,STARLINK-200,0,10,200
LIA,0.9397222391785631,0.7791191745499617,9.179115295410156e-05,93.6017058787611,77.60472273645033,116,STARLINK-200,0,11,200
VCG,1.0,0.7730147150524236,1.1920928955078125e-05,99.6057153660436,76.996683681275,116,STARLINK-200,0,11,200
HoldBack,0.9099316179325847,0.627088871891148,1.3113021850585938e-05,90.63438973835656,62.46163568280307,116,STARLINK-200,0,11,200
LIA,0.9674336808479517,0.663938139346024,9.107589721679688e-05,96.67434837170885,66.34644653279294,142,STARLINK-200,0,12,200
VCG,1.0,0.5645543780188349,1.1682510375976562e-05,99.92865690490967,56.41516074520883,142,STARLINK-200,0,12,200
HoldBack,0.9390506240152112,0.6621137285453587,1.3113021850585938e-05,93.83806762355738,66.16413561183964,142,STARLINK-200,0,12,200
LIA,0.9224652168071185,0.7012042346123026,9.179115295410156e-05,91.98149201928881,69.91896337633845,66,STARLINK-200,0,13,200
VCG,1.0,0.7127069876223321,1.1920928955078125e-05,99.71269414109686,71.0659338690081,45,STARLINK-200,0,13,200
HoldBack,0.8174410520439321,0.6341025957700076,1.2636184692382812e-05,81.50924960083304,63.22807818609035,45,STARLINK-200,0,13,200
LIA,0.8760441767425374,0.6922013383415052,9.083747863769531e-05,87.31244299738606,68.98943169896695,3,STARLINK-200,0,14,200
VCG,1.0,0.7220732496068138,1.3113021850585938e-05,99.66671238207033,71.96666688734919,3,STARLINK-200,0,14,200
HoldBack,0.8329584125165596,0.6096679242007622,1.3113021850585938e-05,83.01822652651383,60.763597649891224,3,STARLINK-200,0,14,200
