,,efficiency_ratio,efficiency_ratio,revenue_ratio,revenue_ratio,runtime,runtime
,,mean,std,mean,std,mean,std
mechanism,topology_name,,,,,,
HoldBack,DSN-30,0.8764,0.0438,0.6271,0.0712,0.0,0.0
HoldBack,INTERNET-100,0.8743,0.0434,0.6213,0.0732,0.0,0.0
HoldBack,STARLINK-200,0.8744,0.0421,0.626,0.0723,0.0,0.0
LIA,DSN-30,0.9169,0.0377,0.7489,0.0598,0.0,0.0
LIA,INTERNET-100,0.9155,0.0375,0.7498,0.0568,0.0001,0.0
LIA,STARLINK-200,0.9168,0.0383,0.7503,0.0582,0.0001,0.0
VCG,DSN-30,1.0,0.0,0.6727,0.0734,0.0,0.0
VCG,INTERNET-100,1.0,0.0,0.6756,0.0741,0.0,0.0
VCG,STARLINK-200,1.0,0.0,0.6729,0.0726,0.0,0.0
