eps_ms,topology,bidder_count,mechanism,g1ms,g1ms_ci_low,g1ms_ci_high,sup_g,sup_g_ci_low,sup_g_ci_high,instance_count,bidder_sample_count,delta_grid_ms,g_delta,g_delta_ci_low,g_delta_ci_high
0.0,STARLINK-200,10,SyncVCG,0.0,0.0,0.0,0.4645635251523657,0.347630781464608,0.5918139972344788,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.0, 0.03920796406035297, 0.08429671637024774, 0.15271127124864306, 0.3199112013320378, 0.4645635251523657]","[0.0, 0.0, 0.008566931278495608, 0.029485481689418568, 0.08505449433720862, 0.2230979150996677, 0.34635057269123726]","[0.0, 0.0, 0.08015209484191228, 0.15285948689928805, 0.2314157518953088, 0.42638721975671134, 0.5897459536360133]"
0.0,STARLINK-200,10,FastVCG,4.349771408230334,3.5517116108151443,5.145924542893863,364.36370325273543,359.3024475331149,369.34560971200546,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[4.349771408230334, 8.375711557693208, 24.139946422144746, 56.00327124439507, 142.8384632034432, 349.37678472891065, 364.36370325273543]","[3.599358419440843, 7.30181926099881, 22.270981813535666, 53.0184583746059, 137.89444636626075, 344.04617103784136, 359.3672580641492]","[5.1422102581155995, 9.468216920221398, 26.10763492448635, 59.019597918185404, 147.8608654453407, 354.69503423920236, 369.4571909567539]"
0.0,STARLINK-200,10,BatchVCG_B1ms,4.292179970146897,3.622880016448082,5.006501528215706,363.4329596683589,358.3205818816675,368.61085103544025,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[4.292179970146897, 8.893440876984172, 23.568764586305385, 54.13479693342907, 140.79530704228557, 348.1090376884449, 363.4329596683589]","[3.6120268481396716, 7.817257892520907, 21.650951003736647, 51.13554291136894, 135.85332367909757, 342.9065362329218, 358.28562502147224]","[5.000241720127607, 9.991644848669713, 25.485844210106563, 57.16486443754241, 145.6084325986455, 353.5231323617494, 368.52465962195873]"
0.0,STARLINK-200,10,BatchVCG_B5ms,3.6237272909559537,3.0226535470269695,4.2417846250516344,359.1314425863718,353.9773892370707,364.33956761081635,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[3.6237272909559537, 7.748358470694543, 21.439854639982457, 50.178673928594186, 132.16355535219202, 341.18952659238727, 359.1314425863718]","[3.0194734233432494, 6.885725157341749, 20.00760127731863, 47.587336108624115, 127.56606168531599, 335.8458795012734, 353.88737269208525]","[4.254084293593903, 8.606772316121079, 22.88606752843349, 52.75420431187436, 136.75995250309825, 346.6297481273843, 364.26513449829827]"
0.0,STARLINK-200,10,BatchVCG_B10ms,2.925268190467024,2.399832799946036,3.4927515385664116,336.00256403846794,330.5666879460883,341.48126747534036,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[2.925268190467024, 6.296963678962658, 18.996996741999226, 43.60643705711281, 109.58527981393311, 314.96664488554774, 336.00256403846794]","[2.4015683378224035, 5.516539646002936, 17.645251475793863, 41.58071541477012, 105.81427464313926, 309.37996815725234, 330.7045335917933]","[3.4739841330417316, 7.098806381362058, 20.34691195282357, 45.60362297646309, 113.3241559597202, 320.62346986044446, 341.36128819452665]"
0.0,STARLINK-200,10,BatchVCG_B20ms,1.835780089730136,1.4783318606842897,2.2230186218431007,267.2019599814625,261.7154492713899,272.7355927055107,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[1.835780089730136, 4.068087020485981, 12.216469446929045, 27.688101739336652, 70.77639947820566, 234.90127682787443, 267.2019599814625]","[1.4726084447035526, 3.514420424791184, 11.169599055799122, 26.074375956383545, 68.35924664410275, 229.42425401037647, 261.89668340549866]","[2.2245218379392364, 4.639278576743512, 13.29240755842024, 29.349534673854183, 73.22682324420158, 240.30457224122495, 272.62029822561163]"
0.0,STARLINK-200,10,BatchVCG_B50ms,0.13720615591122504,0.05017573503658375,0.24472565734256665,25.604689416522906,23.952539626820965,27.244787872621426,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.13720615591122504, 0.2968232846585671, 0.7572966302122399, 1.418886825976963, 2.8358400482284063, 14.934039133946332, 25.604689416522906]","[0.05136524997644538, 0.1657271618343095, 0.519950499210446, 1.0797101639862332, 2.3668008191307806, 13.909211128517832, 23.98106700159734]","[0.24489440700832266, 0.4487990074960129, 1.0367488867969394, 1.7997972422514839, 3.3304271790609117, 15.979047642062355, 27.2481891769557]"
0.0,STARLINK-200,10,HoldBack,0.0,0.0,0.0,0.46076399086784414,0.33688329491952723,0.5980950010835183,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.0, 0.020836377078521075, 0.05945766363003187, 0.1211730965117357, 0.271174724447478, 0.46076399086784414]","[0.0, 0.0, 0.0, 0.014056469261956273, 0.060050575825305944, 0.17680754346749397, 0.3365053285797083]","[0.0, 0.0, 0.05572922341899843, 0.11915174235687237, 0.1927119517322225, 0.3784998315166556, 0.596099620970128]"
0.0,STARLINK-200,10,LIA_lambda0.5_per_s,-0.04102306733433075,-0.042407997126197784,-0.03966045988412697,0.0,0.0,0.0,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[-0.04102306733433075, -0.08184918389291958, -0.16421820569000103, -0.2960968250682219, -0.5897702533992814, -1.1299885347049938, -1.141812206490332]","[-0.042385404058757514, -0.08461379344132482, -0.20173257052929083, -0.3625792078945544, -0.6739099785477297, -1.2482723316983846, -1.2800287138602204]","[-0.039706005903333494, -0.07911500281224083, -0.10838493255370096, -0.21398375024125835, -0.4945288674766449, -1.0010832119473163, -0.9849324006416188]"
0.0,STARLINK-200,10,LIA_lambda1_per_s,-0.08387159145823067,-0.08657168058066862,-0.08114605365471499,0.0,0.0,0.0,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[-0.08387159145823067, -0.1669744547983656, -0.3639897911709052, -0.6996119591088173, -1.3021081316579286, -2.439666506793632, -2.5233610317061]","[-0.08659746851303204, -0.17243490763637606, -0.40719067320995783, -0.7709833279097924, -1.4057162083598458, -2.5906203809943116, -2.685956149833091]","[-0.08109199446324923, -0.16161476703423108, -0.30466084184080616, -0.6159233482329527, -1.1877136719555235, -2.278839184270423, -2.355292256332417]"
0.0,STARLINK-200,10,LIA_lambda2_per_s,-0.1634856724125915,-0.1689384038122211,-0.15796794521261814,0.0,0.0,0.0,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[-0.1634856724125915, -0.3242347520549616, -0.7425890901970853, -1.413665626084164, -2.549651271192795, -4.3354369428070605, -4.488810359483529]","[-0.16880681177027915, -0.33490373031358694, -0.7941912607482174, -1.499260135828714, -2.6817551822165426, -4.558561108811544, -4.722738562549998]","[-0.15805676988528644, -0.3134939699370822, -0.6762426673149232, -1.3143905821517512, -2.411579714379195, -4.111583340109361, -4.251595395291206]"
0.0,STARLINK-200,20,SyncVCG,0.0,0.0,0.0,0.14407826603203855,0.09231771688316094,0.20269890489373943,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0452665708968427, 0.1132897149858522, 0.14407826603203855]","[0.0, 0.0, 0.0, 0.0, 0.01908729754227013, 0.06732432617839586, 0.09076528793270684]","[0.0, 0.0, 0.0, 0.0, 0.0776011957977493, 0.16664247293313375, 0.2044116291166143]"
0.0,STARLINK-200,20,FastVCG,2.936054220923923,2.3113897204476164,3.600198320951952,357.38402520908926,352.02170193623283,362.6838266926456,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[2.936054220923923, 5.244443112465705, 14.656180519109832, 34.454642020737296, 94.43824080084924, 333.7908855229573, 357.38402520908926]","[2.2907400479571005, 4.378408074434475, 13.187786797010357, 32.09244052113119, 90.60004603254646, 328.18814088700344, 352.0435368522717]","[3.6180305103063732, 6.119391331175953, 16.193058688506955, 36.81628463590314, 98.29911628020895, 339.4059261638661, 362.4516664041993]"
0.0,STARLINK-200,20,BatchVCG_B1ms,2.6129122806976874,2.1004690882818577,3.1665179726108,352.200053176814,346.94204374465687,357.44149314617437,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[2.6129122806976874, 5.5524399376546585, 14.8148565911477, 34.42184988938554, 94.19155395047002, 329.37320766901314, 352.200053176814]","[2.102443140259365, 4.76108091748448, 13.393919869741877, 32.09857248598149, 90.30645153831917, 323.9022714684412, 346.9192183889916]","[3.1590186118021184, 6.393574663874055, 16.275143747244922, 36.782842554096625, 98.10589831597771, 335.08749626445814, 357.47563655307675]"
