eps_ms,topology,metric,lia_mechanism,baseline_mechanism,mean_diff,ci_low,ci_high,n
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,BatchVCG_B10ms,0.2952136783330932,0.2912248663392432,0.2992597906427513,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,BatchVCG_B1ms,0.4566392386698078,0.4521306508822495,0.4610204040177361,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,BatchVCG_B20ms,0.1567147132667466,0.15380391436453317,0.1596637196790497,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,BatchVCG_B50ms,0.0045831905140807224,0.004203981001852515,0.004969642217387557,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,BatchVCG_B5ms,0.3836368908789323,0.3793197426252966,0.38807486285844234,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,FastVCG,0.47397398406106533,0.46959551868237875,0.47837610344375686,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,HoldBack,-0.0004285499989257315,-0.00045685133103171797,-0.00039956323035460044,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.0004285499989257315,-0.0004575772333461913,-0.0004001560939192371,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,BatchVCG_B10ms,0.29427452103956475,0.2903225574893795,0.29815015899114305,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,BatchVCG_B1ms,0.4557000813762794,0.4512658670009024,0.4600814259508047,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,BatchVCG_B20ms,0.15577555597321815,0.15282193635059907,0.15876954371201102,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,BatchVCG_B50ms,0.0036440332205522614,0.003251487900833225,0.004039394059428666,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,BatchVCG_B5ms,0.3826977335854039,0.3784537903281636,0.3869700197108637,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,FastVCG,0.4730348267675369,0.468585367310543,0.47737753554237533,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,HoldBack,-0.0013677072924541931,-0.0014352564040509088,-0.0012999512940037497,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,SyncVCG,-0.0013677072924541931,-0.0014357653095919266,-0.0013000959882531837,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,BatchVCG_B10ms,0.2917337353085184,0.2878203244825957,0.2956942836535086,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,BatchVCG_B1ms,0.45315929564523316,0.44875519040164236,0.45761044973005144,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,BatchVCG_B20ms,0.15323477024217186,0.15036478914394463,0.15613706854493767,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,BatchVCG_B50ms,0.001103247489506001,0.0006789316860586785,0.001539041028580587,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,BatchVCG_B5ms,0.3801569478543576,0.37601739047124255,0.3844188276314774,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,FastVCG,0.47049404103649056,0.46600799384987385,0.4748838445589619,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,HoldBack,-0.003908493023500453,-0.004057621276997383,-0.0037593333253078077,17500
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,SyncVCG,-0.003908493023500453,-0.004058386343434703,-0.003757800359121272,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,BatchVCG_B10ms,0.2960040560559793,0.2920961179053169,0.30000080705090854,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,BatchVCG_B1ms,0.457783412422415,0.45337955441672173,0.46229883399229854,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,BatchVCG_B20ms,0.15711074762531524,0.15422654656186216,0.16000447587152955,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,BatchVCG_B50ms,0.004594889031766576,0.004210636613830553,0.004995906327848781,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,BatchVCG_B5ms,0.38463801491056815,0.38026785069854757,0.38893824677180183,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,FastVCG,0.4751362920936567,0.4707675486729775,0.47960632843142936,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,HoldBack,-0.00042932144502672877,-0.0004575521281335652,-0.0004000489526217436,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda0.5_per_s,SyncVCG,-0.00042932144502672877,-0.000458170311445387,-0.00040057757797525234,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,BatchVCG_B10ms,0.2950629324206977,0.29113078469590303,0.2989737048346051,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,BatchVCG_B1ms,0.45684228878713334,0.4524064657317095,0.46109843826298486,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,BatchVCG_B20ms,0.15616962399003362,0.15328024840083324,0.15906271733788535,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,BatchVCG_B50ms,0.0036537653964849553,0.0032546683530125108,0.00406351727970394,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,BatchVCG_B5ms,0.38369689127528656,0.37927637359473765,0.38797738346819005,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,FastVCG,0.47419516845837517,0.46972015913019116,0.47852908966805946,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,HoldBack,-0.0013704450803083486,-0.0014407773264863205,-0.0013016773295883661,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda1_per_s,SyncVCG,-0.0013704450803083486,-0.0014407659728862786,-0.001302660551967887,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,BatchVCG_B10ms,0.29251704972208575,0.28857015618670023,0.2966620535046008,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,BatchVCG_B1ms,0.45429640608852145,0.4498266363928382,0.45870098228853373,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,BatchVCG_B20ms,0.15362374129142173,0.15062121150539798,0.15656788153695578,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,BatchVCG_B50ms,0.0011078826978730561,0.0006872787585908854,0.0015391499146386871,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,BatchVCG_B5ms,0.3811510085766746,0.3768795425726861,0.3854772581314943,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,FastVCG,0.4716492857597632,0.46714387082440695,0.4760621960675692,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,HoldBack,-0.0039163277789202484,-0.004066268975473438,-0.0037693684125688787,17500
0.0,STARLINK-200,welfare_ratio_feasible,LIA_lambda2_per_s,SyncVCG,-0.0039163277789202484,-0.004073395036055445,-0.0037672872210877044,17500
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.5_per_s,BatchVCG_B10ms,0.5878236438815208,0.5831060564088553,0.5924710509511699,17500
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.5_per_s,BatchVCG_B1ms,0.9103945642742828,0.9081976783472298,0.9125753037540497,17500
