eps_ms,topology,metric,lia_mechanism,baseline_mechanism,mean_diff,ci_low,ci_high,n
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.25_per_s,HoldBack,-0.0006359416787302019,-0.0007024445054192933,-0.0005728268510703961,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.0006359416787302019,-0.0007028293911637644,-0.0005719088338280441,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,HoldBack,-0.001217193680009267,-0.001320358479098174,-0.0011203335883646047,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.001217193680009267,-0.0013197423459489735,-0.001119070480149712,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,HoldBack,-0.002062350577443488,-0.0022140834370578412,-0.0019126355615405393,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda1_per_s,SyncVCG,-0.002062350577443488,-0.002215529014883932,-0.0019141107961679043,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,HoldBack,-0.003152434319642476,-0.0033648308701401497,-0.0029485158514343797,1000
0.0,STARLINK-200,welfare_ratio,LIA_lambda2_per_s,SyncVCG,-0.003152434319642476,-0.00335915199336288,-0.0029513261423789803,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.25_per_s,HoldBack,-0.0013065044522660662,-0.0014011242465400003,-0.001211464489862297,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.25_per_s,SyncVCG,-0.0013065044522660662,-0.0014019719022192452,-0.0012148205825620307,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.5_per_s,HoldBack,-0.0024058430803919535,-0.0025354248873604955,-0.002276871333632515,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda0.5_per_s,SyncVCG,-0.0024058430803919535,-0.0025350204329772307,-0.0022784752117556346,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda1_per_s,HoldBack,-0.004025923074850196,-0.0042170906393408526,-0.0038437317586745494,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda1_per_s,SyncVCG,-0.004025923074850196,-0.004213743391136764,-0.003838485322490671,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda2_per_s,HoldBack,-0.006198966598000092,-0.006447356287056807,-0.0059433459186730335,1000
0.0,STARLINK-200,revenue_ratio,LIA_lambda2_per_s,SyncVCG,-0.006198966598000092,-0.006452005244691597,-0.0059531490179537275,1000
0.0,STARLINK-200,clearing_latency_ms,LIA_lambda0.25_per_s,HoldBack,0.12672789591977127,0.12560353650969647,0.12813274899541036,1000
0.0,STARLINK-200,clearing_latency_ms,LIA_lambda0.25_per_s,SyncVCG,0.09001821825893348,0.08855164517509036,0.09184600943456227,1000
0.0,STARLINK-200,clearing_latency_ms,LIA_lambda0.5_per_s,HoldBack,0.12553027096817024,0.1246529164330547,0.12640011226414002,1000
0.0,STARLINK-200,clearing_latency_ms,LIA_lambda0.5_per_s,SyncVCG,0.08882059330733245,0.08767637694299665,0.08995543962709925,1000
0.0,STARLINK-200,clearing_latency_ms,LIA_lambda1_per_s,HoldBack,0.12552938877286143,0.12458655445382989,0.12646794570296963,1000
